Pos,act,x,y,v,a,Duration,Gradient,SOC,Power,Energy,F_load,F_traction,Wind,dt,Brake,Throttle,Power,Torque,dt_Energy_wh,Total_Reward,dt_Time_reward,dt_Energy_reward,dt_Position_reward
0.0,-0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,0.0,-0.0,-36.0,-0.0,-2.0,0.0,0.0,-2.0
0.0,0.8,0.0,0.0,0.0,-0.6,0.0,0.0,0.5,-0.0,0.0,0.0,-1200.0,0.0,0.912870925371648,0.0,0.8,0.0,144.0,0.0,-0.7128709253716481,-0.912870925371648,-0.0,0.2
1.0,0.9,0.0,0.0,2.1908902208919554,2.4,0.912870925371648,0.0,0.5,0.0,0.0,0.0,4800.0,0.0,0.37316093015994123,0.0,0.9,11.830807192816563,162.0,1.2263319490595421,-0.7863269046897123,-0.37316093015994123,-0.6131659745297711,0.2
2.0,0.7,1.0,0.0,3.1687276526027714,2.620417500009187,1.2860318555315893,0.0,0.49987736680509404,11.830807192816563,0.001226331949059542,159.16499998162502,5400.0,0.0,0.2889771677174547,0.0,0.7,13.30865614093164,125.99999999999999,1.0683049327033154,-0.6231296340691124,-0.2889771677174547,-0.5341524663516577,0.2
3.0,0.9,2.0,0.0,3.7522343218586944,2.0192137457255526,1.575009023249044,0.0,0.4997705363118237,13.30865614093164,0.0022946368817628572,161.57250854889475,4200.0,0.0,0.24548272784496628,0.0,0.9,20.262065338036955,162.0,1.3816630752650696,-0.736314265477501,-0.24548272784496628,-0.6908315376325348,0.2
4.0,0.7,3.0,0.0,4.394978353005704,2.6182861694160913,1.8204917510940102,0.0,0.4996323700042972,20.262065338036955,0.0036762999570279266,163.42766116781797,5400.0,0.0,0.21675136181914478,0.0,0.7,18.458909082623958,125.99999999999999,1.1113871337095897,-0.5724449286739397,-0.21675136181914478,-0.5556935668547949,0.2
5.0,0.9,4.0,0.0,4.832183925603932,2.0170833942119715,2.037243112913155,0.0,0.49952123129092624,18.458909082623958,0.004787687090737516,165.8332115760567,4200.0,0.0,0.1964940153332434,0.0,0.9,26.093793198261228,162.0,1.4242428335560067,-0.7086154321112468,-0.1964940153332434,-0.7121214167780033,0.2
6.0,-0.1,5.0,0.0,5.346243079295971,2.616156796532567,2.2337371282463985,0.0,0.49937880700757065,26.093793198261228,0.0062119299242935225,167.68640693486614,5400.0,0.0,0.18832440454259228,-0.1,0.0,-3.207745847577582,-18.0,-0.13424373925978247,0.07879746508729897,-0.18832440454259228,0.06712186962989124,0.2
7.0,0.0,6.0,0.0,5.273729708856399,-0.3850450004910144,2.422061532788991,0.0,0.49939223138149663,-2.5661966780620658,0.00607768618503374,170.09000098202893,-600.0,0.0,0.18990933949361605,0.0,0.0,0.0,0.0,0.0,0.010090660506383964,-0.18990933949361605,-0.0,0.2
8.0,0.9,7.0,0.0,5.257612460159697,-0.08486812043935152,2.611970872282607,0.0,0.49939223138149663,0.0,0.00607768618503374,169.73624087870303,0.0,0.0,0.18196547821788106,0.0,0.9,28.39110728486237,162.0,1.4350559483958742,-0.6994934524158183,-0.18196547821788106,-0.7175279741979371,0.2
9.0,0.9,8.0,0.0,5.7334832773870295,2.615170865858062,2.793936350500488,0.0,0.499248725786657,28.39110728486237,0.007512742133429614,169.65826828387594,5400.0,0.0,0.16798160704629023,0.0,0.9,30.96080969788996,162.0,1.4446796023627562,-0.6903214082276683,-0.16798160704629023,-0.7223398011813781,0.2
10.0,0.9,9.0,0.0,6.172582078420004,2.6139695217463514,2.9619179575467784,0.0,0.49910425782642076,30.96080969788996,0.00895742173579237,172.06095650729776,5400.0,0.0,0.15680304555038518,0.0,0.9,33.331943223468016,162.0,1.4518195032089742,-0.6827127971548723,-0.15680304555038518,-0.7259097516044871,0.2
11.0,0.9,10.0,0.0,6.582272172524738,2.612768729502062,3.1187210030971637,0.0,0.4989590758760999,33.331943223468016,0.010409241239001344,174.46254099587588,5400.0,0.0,0.14760130906641483,0.0,0.9,35.544269731633584,162.0,1.4573279839441284,-0.6762653010384791,-0.14760130906641483,-0.7286639919720642,0.2
12.0,0.7,11.0,0.0,6.967743100198798,2.611568488871688,3.2663223121635787,0.0,0.4988133430777055,35.544269731633584,0.011866569222945473,176.86302225662328,5400.0,0.0,0.1406640604340683,0.0,0.7,29.26452102083495,125.99999999999999,1.143462875957997,-0.5123954984130668,-0.1406640604340683,-0.5717314379789985,0.2
13.0,0.8,12.0,0.0,7.250529738520756,2.0103687996018373,3.406986372597647,0.0,0.49869899679010965,29.26452102083495,0.01301003209890347,179.2624007963253,4200.0,0.0,0.13501767455130645,0.0,0.8,34.802542744899625,144.0,1.3052662194135525,-0.5876507842580827,-0.13501767455130645,-0.6526331097067762,0.2
