Pos,act,x,y,v,a,Duration,Gradient,SOC,Power,Energy,F_load,F_traction,Wind,dt,Brake,Throttle,Power,Torque,dt_Energy_wh,Total_Reward,dt_Time_reward,dt_Energy_reward,dt_Position_reward
0.0,-0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,-0.9,0.0,-0.0,-162.0,-0.0,-2.0,0.0,0.0,-2.0
0.0,0.0,0.0,0.0,0.0,-2.703675,0.0,0.0,0.5,-0.0,0.0,7.3500000000000005,-5400.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,-0.0,-2.0
0.0,0.2,0.0,0.0,0.0,-0.0036750000000000003,0.0,0.0,0.5,0.0,0.0,7.3500000000000005,0.0,4.0,1.8313589790816096,0.0,0.2,0.0,36.0,0.0,-1.6313589790816097,-1.8313589790816096,-0.0,0.2
1.0,0.0,0.0,0.0,1.092085143200841,0.596325,1.8313589790816096,0.0,0.5,0.0,0.0,7.3500000000000005,1200.0,4.0,0.9488281990110362,0.0,0.0,0.0,0.0,0.0,-0.7488281990110361,-0.9488281990110362,-0.0,0.2
2.0,0.0,1.0,0.0,1.0157782632296815,-0.08042223033705596,2.7801871780926457,0.0,0.5,0.0,0.0,160.84446067411193,0.0,4.0,1.0262092390944066,0.0,0.0,0.0,0.0,0.0,-0.8262092390944067,-1.0262092390944066,-0.0,0.2
3.0,0.0,2.0,0.0,0.9331422508775901,-0.08052550026251443,3.8063964171870524,0.0,0.5,0.0,0.0,161.05100052502885,0.0,4.0,1.126478352709732,0.0,0.0,0.0,0.0,0.0,-0.926478352709732,-1.126478352709732,-0.0,0.2
4.0,0.0,3.0,0.0,0.8423026393986444,-0.08064035252912934,4.9328747698967845,0.0,0.5,0.0,0.0,161.28070505825866,0.0,4.0,1.2638010222171603,0.0,0.0,0.0,0.0,0.0,-1.0638010222171603,-1.2638010222171603,-0.0,0.2
5.0,0.0,4.0,0.0,0.7402251450269279,-0.08077022614892011,6.196675792113945,0.0,0.5,0.0,0.0,161.54045229784023,0.0,4.0,1.4688732147486216,0.0,0.0,0.0,0.0,0.0,-1.2688732147486217,-1.4688732147486216,-0.0,0.2
6.0,0.0,5.0,0.0,0.6213629113813299,-0.08092068971789354,7.665549006862567,0.0,0.5,0.0,0.0,161.84137943578708,0.0,4.0,1.8272669246412412,0.0,0.0,0.0,0.0,0.0,-1.6272669246412412,-1.8272669246412412,-0.0,0.2
7.0,0.0,6.0,0.0,0.4731680442462539,-0.08110192612618543,9.492815931503808,0.0,0.5,0.0,0.0,162.20385225237087,0.0,4.0,2.775531630640327,0.0,0.0,0.0,0.0,0.0,-2.575531630640327,-2.775531630640327,-0.0,0.2
8.0,0.0,7.0,0.0,0.24741468908526418,-0.08133697799326015,12.268347562144134,0.0,0.5,0.0,0.0,162.6739559865203,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,-0.0,-2.0
8.0,0.0,8.0,0.0,0.0,-0.08171443560594825,12.268347562144134,0.0,0.5,0.0,0.0,163.4288712118965,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,-0.0,-2.0
8.0,-0.1,8.0,0.0,0.0,-0.0036750000000000003,12.268347562144134,0.0,0.5,0.0,0.0,7.3500000000000005,0.0,4.0,0.0,-0.1,0.0,-0.0,-18.0,-0.0,-2.0,0.0,0.0,-2.0
8.0,0.0,8.0,0.0,0.0,-0.30367500000000003,12.268347562144134,0.0,0.5,-0.0,0.0,7.3500000000000005,-600.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,-0.0,-2.0
8.0,-0.1,8.0,0.0,0.0,-0.0036750000000000003,12.268347562144134,0.0,0.5,0.0,0.0,7.3500000000000005,0.0,4.0,0.0,-0.1,0.0,-0.0,-18.0,-0.0,-2.0,0.0,0.0,-2.0
8.0,0.0,8.0,0.0,0.0,-0.30367500000000003,12.268347562144134,0.0,0.5,-0.0,0.0,7.3500000000000005,-600.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,-0.0,-2.0
8.0,-0.1,8.0,0.0,0.0,-0.0036750000000000003,12.268347562144134,0.0,0.5,0.0,0.0,7.3500000000000005,0.0,4.0,0.0,-0.1,0.0,-0.0,-18.0,-0.0,-2.0,0.0,0.0,-2.0
8.0,0.0,8.0,0.0,0.0,-0.30367500000000003,12.268347562144134,0.0,0.5,-0.0,0.0,7.3500000000000005,-600.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,-0.0,-2.0
8.0,-0.1,8.0,0.0,0.0,-0.0036750000000000003,12.268347562144134,0.0,0.5,0.0,0.0,7.3500000000000005,0.0,4.0,0.0,-0.1,0.0,-0.0,-18.0,-0.0,-2.0,0.0,0.0,-2.0
8.0,0.0,8.0,0.0,0.0,-0.30367500000000003,12.268347562144134,0.0,0.5,-0.0,0.0,7.3500000000000005,-600.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,-0.0,-2.0
8.0,-0.1,8.0,0.0,0.0,-0.0036750000000000003,12.268347562144134,0.0,0.5,0.0,0.0,7.3500000000000005,0.0,4.0,0.0,-0.1,0.0,-0.0,-18.0,-0.0,-2.0,0.0,0.0,-2.0
8.0,0.0,8.0,0.0,0.0,-0.30367500000000003,12.268347562144134,0.0,0.5,-0.0,0.0,7.3500000000000005,-600.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,-0.0,-2.0
8.0,-0.1,8.0,0.0,0.0,-0.0036750000000000003,12.268347562144134,0.0,0.5,0.0,0.0,7.3500000000000005,0.0,4.0,0.0,-0.1,0.0,-0.0,-18.0,-0.0,-2.0,0.0,0.0,-2.0
8.0,0.0,8.0,0.0,0.0,-0.30367500000000003,12.268347562144134,0.0,0.5,-0.0,0.0,7.3500000000000005,-600.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,-0.0,-2.0
8.0,-0.1,8.0,0.0,0.0,-0.0036750000000000003,12.268347562144134,0.0,0.5,0.0,0.0,7.3500000000000005,0.0,4.0,0.0,-0.1,0.0,-0.0,-18.0,-0.0,-2.0,0.0,0.0,-2.0
8.0,0.0,8.0,0.0,0.0,-0.30367500000000003,12.268347562144134,0.0,0.5,-0.0,0.0,7.3500000000000005,-600.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,-0.0,-2.0
8.0,-0.1,8.0,0.0,0.0,-0.0036750000000000003,12.268347562144134,0.0,0.5,0.0,0.0,7.3500000000000005,0.0,4.0,0.0,-0.1,0.0,-0.0,-18.0,-0.0,-2.0,0.0,0.0,-2.0
8.0,0.0,8.0,0.0,0.0,-0.30367500000000003,12.268347562144134,0.0,0.5,-0.0,0.0,7.3500000000000005,-600.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,-0.0,-2.0
