Pos,act,x,y,v,a,Duration,Gradient,SOC,Power,Energy,F_load,F_traction,Wind,dt,Brake,Throttle,Power,Torque,dt_Energy_wh,Total_Reward,dt_Time_reward,dt_Energy_reward,dt_Position_reward
0.0,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,0.0,-0.0,-90.0,-0.0,-2.0,0.0,0.0,-2.0
0.0,0.6,0.0,0.0,0.0,-1.5036749999999999,0.0,0.0,0.5,-0.0,0.0,7.3500000000000005,-3000.0,4.0,1.055170250844607,0.0,0.6,0.0,108.0,0.0,-0.8551702508446071,-1.055170250844607,-0.0,0.2
1.0,-1.0,0.0,0.0,1.895428700848439,1.7963250000000002,1.055170250844607,0.0,0.5,0.0,0.0,7.3500000000000005,3600.0000000000005,4.0,0.0,-1.0,0.0,-11.372572205090632,-180.0,-0.0,-2.0,0.0,0.0,-2.0
1.0,0.1,1.0,0.0,0.0,-3.0794973365498786,1.055170250844607,0.0,0.5,-9.098057764072506,0.0,158.994673099757,-6000.0,4.0,2.5979502885071377,0.0,0.1,0.0,18.0,0.0,-2.3979502885071375,-2.5979502885071377,-0.0,0.2
2.0,-1.0,1.0,0.0,0.7698376192418775,0.296325,3.653120539351745,0.0,0.5,0.0,0.0,7.3500000000000005,600.0,4.0,0.0,-1.0,0.0,-4.619025715451266,-180.0,-0.0,-2.0,0.0,0.0,-2.0
2.0,-0.9,2.0,0.0,0.0,-3.0808765476623305,3.653120539351745,0.0,0.5,-3.6952205723610128,0.0,161.7530953246611,-6000.0,4.0,0.0,-0.9,0.0,-0.0,-162.0,-0.0,-2.0,0.0,0.0,-2.0
2.0,-1.0,2.0,0.0,0.0,-2.703675,3.653120539351745,0.0,0.5,-0.0,0.0,7.3500000000000005,-5400.0,4.0,0.0,-1.0,0.0,-0.0,-180.0,-0.0,-2.0,0.0,0.0,-2.0
2.0,-1.0,2.0,0.0,0.0,-3.0036750000000003,3.653120539351745,0.0,0.5,-0.0,0.0,7.3500000000000005,-6000.0,4.0,0.0,-1.0,0.0,-0.0,-180.0,-0.0,-2.0,0.0,0.0,-2.0
2.0,-1.0,2.0,0.0,0.0,-3.0036750000000003,3.653120539351745,0.0,0.5,-0.0,0.0,7.3500000000000005,-6000.0,4.0,0.0,-1.0,0.0,-0.0,-180.0,-0.0,-2.0,0.0,0.0,-2.0
2.0,-0.4,2.0,0.0,0.0,-3.0036750000000003,3.653120539351745,0.0,0.5,-0.0,0.0,7.3500000000000005,-6000.0,4.0,0.0,-0.4,0.0,-0.0,-72.0,-0.0,-2.0,0.0,0.0,-2.0
2.0,-1.0,2.0,0.0,0.0,-1.203675,3.653120539351745,0.0,0.5,-0.0,0.0,7.3500000000000005,-2400.0,4.0,0.0,-1.0,0.0,-0.0,-180.0,-0.0,-2.0,0.0,0.0,-2.0
2.0,-1.0,2.0,0.0,0.0,-3.0036750000000003,3.653120539351745,0.0,0.5,-0.0,0.0,7.3500000000000005,-6000.0,4.0,0.0,-1.0,0.0,-0.0,-180.0,-0.0,-2.0,0.0,0.0,-2.0
2.0,0.6,2.0,0.0,0.0,-3.0036750000000003,3.653120539351745,0.0,0.5,-0.0,0.0,7.3500000000000005,-6000.0,4.0,1.055170250844607,0.0,0.6,0.0,108.0,0.0,-0.8551702508446071,-1.055170250844607,-0.0,0.2
3.0,0.2,2.0,0.0,1.895428700848439,1.7963250000000002,4.708290790196352,0.0,0.5,0.0,0.0,7.3500000000000005,3600.0000000000005,4.0,0.4940685260070092,0.0,0.2,2.2745144410181264,36.0,0.31215722145985614,-0.45014713673693724,-0.4940685260070092,-0.15607861072992807,0.2
4.0,-1.0,3.0,0.0,2.152592684561963,0.5205026634501215,5.202359316203361,0.0,0.499968784277854,2.2745144410181264,0.0003121572214598561,158.994673099757,1200.0,4.0,0.0,-1.0,0.0,-12.915556107371776,-180.0,-0.0,-2.0,0.0,0.0,-2.0
4.0,0.2,4.0,0.0,0.0,-3.0792639036359417,5.202359316203361,0.0,0.499968784277854,-10.332444885897422,0.0003121572214598561,158.52780727188343,-6000.0,4.0,1.8313589790816096,0.0,0.2,0.0,36.0,0.0,-1.6313589790816097,-1.8313589790816096,-0.0,0.2
5.0,-1.0,4.0,0.0,1.092085143200841,0.596325,7.03371829528497,0.0,0.499968784277854,0.0,0.0003121572214598561,7.3500000000000005,1200.0,4.0,0.0,-1.0,0.0,-6.552510859205045,-180.0,-0.0,-2.0,0.0,0.0,-2.0
5.0,-1.0,5.0,0.0,0.0,-3.080422230337056,7.03371829528497,0.0,0.499968784277854,-5.242008687364036,0.0003121572214598561,160.84446067411193,-6000.0,4.0,0.0,-1.0,0.0,-0.0,-180.0,-0.0,-2.0,0.0,0.0,-2.0
5.0,0.7,5.0,0.0,0.0,-3.0036750000000003,7.03371829528497,0.0,0.499968784277854,-0.0,0.0003121572214598561,7.3500000000000005,-6000.0,4.0,0.9767551032501832,0.0,0.7,0.0,125.99999999999999,0.0,-0.7767551032501832,-0.9767551032501832,-0.0,0.2
6.0,-1.0,5.0,0.0,2.0475961418209403,2.0963249999999998,8.010473398535153,0.0,0.499968784277854,0.0,0.0003121572214598561,7.3500000000000005,4200.0,4.0,0.0,-1.0,0.0,-12.285576850925642,-180.0,-0.0,-2.0,0.0,0.0,-2.0
